COLOR RED
PA SKY
DOT 2.47 12.73 
DOT 4.13 79.28 
DOT 5.11 15.68 
DOT 8.56 39.40 
DOT 9.03 18.63 
DOT 9.44 13.34 
DOT 10.23 33.17 
DOT 10.79 52.06 
DOT 12.73 51.20 
DOT 13.96 26.41 
DOT 16.85 32.41 
DOT 17.22 13.34 
DOT 17.43 73.20 
DOT 17.58 31.79 
DOT 18.01 49.48 
DOT 21.68 33.22 
DOT 22.13 29.05 
DOT 22.50 23.64 
DOT 23.87 37.90 
DOT 24.10 20.96 
DOT 24.42 33.16 
DOT 25.29 13.89 
DOT 29.30 28.86 
DOT 35.65 86.32 
DOT 35.93 40.01 
DOT 35.80 42.99 
DOT 36.05 27.84 
DOT 38.12 34.40 
DOT 38.60 31.57 
DOT 45.81 16.44 
DOT 47.50 17.10 
DOT 49.57 41.86 
DOT 49.95 41.51 
DOT 59.73 10.43 
DOT 63.42 11.20 
DOT 63.62 14.27 
DOT 69.27 29.67 
DOT 74.18 22.82 
DOT 80.29 16.64 
DOT 85.65 49.85 
DOT 92.39 48.07 
DOT 103.81 54.15 
DOT 105.53 25.23 
DOT 107.33 74.83 
DOT 108.26 11.77 
DOT 108.52 14.61 
DOT 112.04 14.63 
DOT 114.85 70.39 
DOT 115.76 80.44 
DOT 116.07 37.89 
DOT 117.15 55.82 
DOT 120.39 14.25 
DOT 121.20 10.26 
DOT 121.40 24.16 
DOT 123.40 48.22 
DOT 126.86 29.31 
DOT 128.76 14.20 
DOT 129.44 65.23 
DOT 129.78 57.90 
DOT 130.20 13.21 
DOT 133.29 13.88 
DOT 134.67 14.16 
DOT 136.63 16.77 
DOT 137.21 37.81 
DOT 137.39 42.90 
DOT 140.29 45.65 
DOT 143.17 79.11 
DOT 144.85 83.26 
DOT 144.97 35.90 
DOT 145.56 13.76 
DOT 146.07 9.77 
DOT 147.44 73.24 
DOT 147.54 14.33 
DOT 148.97 69.68 
DOT 150.46 28.79 
DOT 151.51 34.90 
DOT 152.94 46.47 
DOT 153.56 74.63 
DOT 155.48 21.99 
DOT 158.39 58.24 
DOT 160.69 12.06 
DOT 164.75 43.02 
DOT 166.06 76.98 
DOT 167.89 35.68 
DOT 168.66 40.62 
DOT 174.99 65.80 
DOT 175.85 22.12 
DOT 176.27 19.61 
DOT 176.37 31.56 
DOT 176.43 49.77 
DOT 177.49 12.79 
DOT 180.09 73.01 
DOT 181.60 64.23 
DOT 182.31 43.66 
DOT 185.14 33.72 
DOT 186.27 12.89 
DOT 187.39 11.68 
DOT 187.71 12.39 
DOT 188.86 21.34 
DOT 190.99 16.38 
DOT 193.39 15.71 
DOT 194.24 47.34 
DOT 197.77 27.47 
DOT 200.32 42.59 
DOT 202.66 25.15 
DOT 202.78 30.51 
DOT 204.71 38.85 
DOT 206.36 49.78 
DOT 207.67 64.49 
DOT 208.07 31.45 
DOT 211.68 34.19 
DOT 212.84 52.20 
DOT 214.22 10.81 
DOT 215.27 41.75 
DOT 215.75 19.59 
DOT 220.76 52.03 
DOT 222.34 63.27 
DOT 224.78 71.67 
DOT 226.24 26.02 
DOT 227.60 70.76 
DOT 228.42 26.13 
DOT 230.02 20.27 
DOT 231.02 54.47 
DOT 232.93 24.07 
DOT 233.75 55.61 
DOT 237.45 21.43 
DOT 238.04 20.09 
DOT 237.49 62.69 
DOT 242.39 65.94 
DOT 244.42 35.00 
DOT 245.09 17.61 
DOT 246.16 23.75 
DOT 247.02 27.69 
DOT 247.16 39.55 
DOT 247.40 23.34 
DOT 247.22 44.32 
DOT 248.64 62.76 
DOT 249.62 62.58 
DOT 248.13 82.54 
DOT 250.95 17.26 
DOT 250.74 39.81 
DOT 254.87 47.05 
DOT 256.17 60.74 
DOT 257.68 46.02 
DOT 261.08 50.96 
DOT 263.68 16.01 
DOT 270.41 13.86 
DOT 271.28 11.03 
DOT 277.38 48.75 
DOT 278.44 47.45 
DOT 278.76 32.70 
DOT 279.61 17.20 
DOT 281.01 45.56 
DOT 280.54 79.77 
DOT 295.10 60.69 
DOT 316.03 76.55 
DOT 320.69 17.08 
DOT 320.94 25.07 
DOT 326.05 28.17 
DOT 326.85 15.35 
DOT 328.97 38.01 
DOT 331.52 29.49 
DOT 333.70 13.84 
DOT 337.84 39.36 
DOT 341.45 39.69 
DOT 342.48 11.61 
DOT 342.89 18.81 
DOT 343.49 16.15 
DOT 343.77 13.23 
DOT 348.03 18.76 
DOT 354.62 27.03 
DOT 358.85 79.92 
DOT 359.65 44.08 
