COLOR GREEN
PA SKY
DOT -290.32 -5.19 
DOT -273.52 17.94 
DOT -276.05 18.87 
DOT -292.36 -8.23 
DOT -272.47 19.13 
DOT -276.19 20.09 
DOT -276.35 21.96 
DOT -277.35 22.59 
DOT -275.61 20.72 
DOT -277.01 23.08 
DOT -275.31 21.29 
DOT -273.49 20.77 
DOT -279.69 24.00 
DOT -277.15 24.19 
DOT -278.77 24.38 
DOT -276.29 24.64 
DOT -279.69 24.85 
DOT -278.53 25.15 
DOT -300.26 10.43 
DOT -304.15 -2.66 
DOT -290.73 29.71 
DOT -283.87 38.05 
DOT -312.48 17.11 
DOT -315.56 6.07 
DOT -295.41 37.98 
DOT -297.99 43.01 
DOT -310.42 41.92 
DOT -310.04 41.54 
DOT -321.40 31.56 
DOT -305.55 50.76 
DOT -236.59 48.20 
DOT -330.71 28.85 
DOT -296.79 58.24 
DOT -324.20 42.97 
DOT -308.15 55.35 
DOT -335.89 20.93 
DOT -338.56 -1.25 
DOT -335.57 33.18 
DOT -342.77 13.36 
DOT -320.52 59.22 
DOT -346.02 26.45 
DOT -291.48 72.50 
DOT -245.03 70.39 
DOT -306.13 70.93 
DOT -349.79 10.10 
DOT -350.40 -2.13 
DOT -350.72 -1.14 
DOT -328.54 64.84 
DOT -296.76 74.90 
DOT -252.81 74.80 
DOT -298.99 74.96 
DOT -354.89 15.70 
DOT -349.21 52.07 
DOT -244.39 80.43 
DOT -350.96 58.94 
DOT -350.64 60.50 
DOT -346.03 68.38 
DOT -358.84 12.88 
DOT -342.58 73.22 
DOT -352.56 64.02 
DOT -216.84 79.09 
DOT -353.69 64.15 
DOT -215.10 83.25 
DOT -324.52 86.32 
DOT -355.97 79.28 
DOT -2.25 64.67 
DOT -1.18 79.92 
DOT -5.38 26.99 
DOT -9.11 58.85 
DOT -9.71 59.10 
DOT -10.61 59.04 
DOT -8.46 58.64 
DOT -8.55 59.18 
DOT -9.04 60.30 
DOT -9.56 59.88 
DOT -179.86 73.03 
DOT -15.32 63.47 
DOT -14.53 58.85 
DOT -10.85 4.10 
DOT -16.22 57.99 
DOT -11.77 5.28 
DOT -43.95 76.56 
DOT -79.45 79.80 
DOT -18.54 39.68 
DOT -16.23 13.25 
DOT -135.24 71.64 
DOT -132.48 70.78 
DOT -40.44 60.81 
DOT -24.04 -2.07 
DOT -38.72 51.97 
DOT -28.47 29.51 
DOT -31.03 38.01 
DOT -26.39 -17.00 
DOT -26.30 13.86 
DOT -40.30 49.59 
DOT -117.59 65.94 
DOT -147.18 52.18 
DOT -42.94 49.57 
DOT -81.44 65.31 
DOT -122.50 62.70 
DOT -33.95 28.25 
DOT -50.31 51.34 
DOT -64.91 60.68 
DOT -39.07 25.09 
DOT -54.63 40.21 
DOT -54.73 40.69 
DOT -58.26 42.18 
DOT -57.83 41.49 
DOT -57.38 40.81 
DOT -58.69 41.64 
DOT -59.00 41.83 
DOT -58.11 40.53 
DOT -59.52 40.61 
DOT -58.98 40.61 
DOT -59.08 41.08 
DOT -58.59 41.19 
DOT -59.89 40.75 
DOT -59.44 41.35 
DOT -60.47 41.92 
DOT -60.02 41.23 
DOT -60.37 41.42 
DOT -61.24 40.75 
DOT -60.77 40.84 
DOT -59.02 39.39 
DOT -60.27 40.24 
DOT -59.85 39.54 
DOT -60.84 40.11 
DOT -62.20 40.89 
DOT -62.53 41.07 
DOT -60.73 39.65 
DOT -61.59 39.79 
DOT -82.62 48.76 
DOT -54.99 29.70 
DOT -56.39 23.61 
DOT -112.89 39.53 
DOT -75.96 1.39 
