COLOR GREEN
PA SKY
DOT 325.87 -4.96 
DOT 217.81 17.71 
DOT 179.84 18.59 
DOT 295.23 -8.12 
DOT 233.57 18.97 
DOT 177.77 19.81 
DOT 175.38 21.68 
DOT 160.37 22.32 
DOT 186.49 20.44 
DOT 165.46 22.81 
DOT 190.90 21.01 
DOT 218.30 20.55 
DOT 125.34 23.84 
DOT 163.41 23.92 
DOT 139.18 24.17 
DOT 176.26 24.36 
DOT 125.43 24.69 
DOT 142.70 24.93 
DOT 176.77 10.16 
DOT 118.42 -2.79 
DOT 319.55 29.92 
DOT 62.79 38.17 
DOT 353.48 17.38 
DOT 307.21 6.24 
DOT 249.29 37.88 
DOT 210.66 42.77 
DOT 24.44 42.17 
DOT 30.19 41.78 
DOT 219.57 31.34 
DOT 97.78 50.73 
DOT 52.04 48.37 
DOT 80.20 28.90 
DOT 228.41 58.05 
DOT 177.64 42.69 
DOT 58.78 55.50 
DOT 2.33 21.21 
DOT 322.26 -1.03 
DOT 7.13 33.45 
DOT 258.96 13.31 
DOT 232.51 59.05 
DOT 210.22 26.21 
DOT 307.69 72.67 
DOT 284.40 70.46 
DOT 89.53 70.93 
DOT 153.86 9.85 
DOT 144.63 -2.36 
DOT 139.76 -1.35 
DOT 113.11 64.73 
DOT 228.52 74.71 
DOT 168.75 74.53 
DOT 195.47 74.70 
DOT 77.33 15.77 
DOT 162.65 51.81 
DOT 293.32 80.54 
DOT 136.56 58.74 
DOT 141.35 60.28 
DOT 209.78 68.14 
DOT 18.03 13.14 
DOT 260.98 73.18 
DOT 112.72 63.91 
DOT 347.76 79.36 
DOT 95.93 64.13 
DOT 14.69 83.52 
DOT 173.30 86.04 
DOT 62.38 79.41 
DOT 326.62 64.91 
DOT 342.40 80.19 
DOT 279.76 27.03 
DOT 223.65 58.65 
DOT 214.68 58.87 
DOT 201.35 58.78 
DOT 233.38 58.47 
DOT 232.00 59.01 
DOT 224.70 60.10 
DOT 216.93 59.66 
DOT 182.68 72.75 
DOT 131.32 63.29 
DOT 142.92 58.63 
DOT 197.86 3.84 
DOT 117.67 57.86 
DOT 184.15 5.00 
DOT 62.36 76.69 
DOT 247.43 79.70 
DOT 82.78 39.72 
DOT 117.30 13.13 
DOT 132.67 71.45 
DOT 173.53 70.51 
DOT 114.44 60.70 
DOT 0.09 -1.80 
DOT 140.10 51.76 
DOT 293.43 29.62 
DOT 254.95 37.93 
DOT 324.78 -16.77 
DOT 326.04 14.09 
DOT 116.38 49.47 
DOT 37.17 66.16 
DOT 312.71 52.36 
DOT 76.89 49.63 
DOT 218.69 65.09 
DOT 322.88 62.92 
DOT 211.28 28.01 
DOT 325.72 51.57 
DOT 107.45 60.60 
DOT 134.71 24.90 
DOT 260.92 40.17 
DOT 259.43 40.64 
DOT 206.56 41.93 
DOT 213.02 41.25 
DOT 219.83 40.59 
DOT 200.21 41.38 
DOT 195.56 41.56 
DOT 208.83 40.28 
DOT 187.85 40.33 
DOT 195.87 40.35 
DOT 194.33 40.81 
DOT 201.64 40.93 
DOT 182.25 40.47 
DOT 188.95 41.08 
DOT 173.58 41.64 
DOT 180.31 40.95 
DOT 175.13 41.14 
DOT 162.14 40.48 
DOT 169.08 40.56 
DOT 195.34 39.12 
DOT 176.61 39.97 
DOT 182.93 39.27 
DOT 168.10 39.84 
DOT 147.79 40.65 
DOT 142.81 40.85 
DOT 169.71 39.38 
DOT 156.94 39.53 
DOT 201.28 48.50 
DOT 255.67 29.63 
DOT 234.65 23.45 
DOT 107.51 39.45 
DOT 301.23 1.53 
